nome,avaliacao,preco_old,preco_avista,preco_parcelado
"Smartphone Samsung Galaxy A05 128GB Preto 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899.90","R$ 665.10","R$ 739.00"
"Smartphone Motorola Moto G04s 128GB Grafite 4GB RAM 6,6"" Câm 50MP + Selfie 5MP Dual Chip",4.8 (1475),"R$ 879.00","R$ 679.00","R$ 754.44"
"Smartphone Motorola Moto G24 128GB Rosa 4GB + 4GB RAM Boost 6,6"" Câm. Dupla + Selfie 8MP Dual Chip",4.8 (2945),"R$ 999.00","R$ 719.10","R$ 799.00"
"Smartphone Samsung Galaxy A05 128GB Prata 4G Octa-Core 4GB RAM 6,7” Câm. Dupla + Selfie 8MP",4.8 (7644),"R$ 899.99","R$ 665.10","R$ 739.00"
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip",4.7 (5596),"R$ 1799.00","R$ 1169.10","R$ 1299.00"

